GeneID	GOTerms_num	GO_Anno	KEGG_entry	KEGG_url	KOG_class	KOG_class_annotation	NR_ID	E_value	Identity	Score	Annotation	NT_ID	E_value	Identity	Score	Annotation	Swissprot_ID	E_value	Identity	Score	Annotation	category
HJ_1-10k_transcript/116288	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_020261540.1	1.80E-252	438/626(69.97)	878	beta-galactosidase 5-like [Asparagus officinalis] 	XM_020405951.1	0	1913/2270(84.27)	2.18E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 5-like (LOC109837630), mRNA"	sp|Q10RB4|BGAL5_ORYSJ	1.40E-221	389/622(62.54)	770	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/166497	--	--	K01190|lacZ	http://www.genome.jp/dbget-bin/www_bget?ko:K01190	--	--	XP_020264636.1	1.10E-290	457/567(80.60)	1005	uncharacterized protein LOC109840411 isoform X1 [Asparagus officinalis]	XM_020409047.1	0	899/1052(85.46)	1.09E+03	"PREDICTED: Asparagus officinalis beta-galactosidase (LOC109840411), transcript variant X1, mRNA"	sp|A5F5U6|BGAL_VIBC3	4.10E-97	214/567(37.74)	357	Beta-galactosidase OS=Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395) GN=lacZ PE=3 SV=2	Bgal
HJ_1-10k_transcript/221353	3	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020247078.1	1.60E-220	363/456(79.61)	771	beta-galactosidase 15 isoform X1 [Asparagus officinalis] 	XM_020391491.1	0	1116/1333(83.72)	1.25E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 15 (LOC109824841), transcript variant X3, mRNA"	sp|Q0INM3|BGA15_ORYSJ	1.00E-162	275/447(61.52)	574	Beta-galactosidase 15 OS=Oryza sativa subsp. japonica GN=Os12g0429200 PE=2 SV=1	Bgal
HJ_1-10k_transcript/41483	4	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function); GO:0048046: apoplast (cellular_component);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020250713.1	0.00E+00	753/833(90.40)	1623	beta-galactosidase isoform X1 [Asparagus officinalis]	XM_020395124.1	0	2477/2930(84.54)	2.85E+03	"PREDICTED: Asparagus officinalis beta-galactosidase (LOC109828085), transcript variant X1, mRNA"	sp|P45582|BGAL_ASPOF	0.00E+00	752/833(90.28)	1621	Beta-galactosidase OS=Asparagus officinalis PE=2 SV=1	Bgal
HJ_1-10k_transcript/93225	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_020247078.1	1.70E-67	127/165(76.97)	263	beta-galactosidase 15 isoform X1 [Asparagus officinalis] 	XM_020389328.1	2.00E-75	223/254(87.80)	2.94E+02	"PREDICTED: Asparagus officinalis beta-galactosidase 9-like (LOC109823011), transcript variant X1, mRNA"	sp|Q9SCV3|BGAL9_ARATH	1.50E-51	98/162(60.49)	206	Beta-galactosidase 9 OS=Arabidopsis thaliana GN=BGAL9 PE=2 SV=1	Bgal
HJ_1-10k_transcript/64391	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0008152: metabolic process (biological_process);"	--	--	[G]	Carbohydrate transport and metabolism 	XP_020259718.1	2.00E-43	91/115(79.13)	1.84E+02	beta-galactosidase 6 isoform X1 [Asparagus officinalis] 	--	--	--	--	--	sp|Q10NX8|BGAL6_ORYSJ	2.50E-26	63/125(50.40)	122	Beta-galactosidase 6 OS=Oryza sativa subsp. japonica GN=Os03g0255100 PE=1 SV=2	Bgal
HJ_1-10k_transcript/103194	--	--	K01190|lacZ	http://www.genome.jp/dbget-bin/www_bget?ko:K01190	--	--	XP_020264636.1	0.00E+00	566/684(82.75)	1248	uncharacterized protein LOC109840411 isoform X1 [Asparagus officinalis]	XM_020409047.1	0	1214/1407(86.28)	1.53E+03	"PREDICTED: Asparagus officinalis beta-galactosidase (LOC109840411), transcript variant X1, mRNA"	sp|A5F5U6|BGAL_VIBC3	2.80E-148	290/699(41.49)	527	Beta-galactosidase OS=Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395) GN=lacZ PE=3 SV=2	Bgal
HJ_1-10k_transcript/6021	--	--	--	--	[G]	Carbohydrate transport and metabolism 	KAF2567603.1	1.30E-12	66/191(34.55)	82	hypothetical protein F2Q68_00024992 [Brassica cretica]	CP023126.1	4.00E-10	48/51(94.12)	7.87E+01	Lupinus angustifolius cultivar Tanjil chromosome LG-14	sp|Q9SCV4|BGAL8_ARATH	1.10E-07	31/47(65.96)	61	Beta-galactosidase 8 OS=Arabidopsis thaliana GN=BGAL8 PE=2 SV=2	Bgal
HJ_1-10k_transcript/81884	1	"GO:0016798: hydrolase activity, acting on glycosyl bonds (molecular_function);"	"K12309|GLB1, ELNR1"	http://www.genome.jp/dbget-bin/www_bget?ko:K12309	--	--	XP_020258542.1	2.10E-12	43/70(61.43)	8.00E+01	"(E,E)-geranyllinalool synthase-like [Asparagus officinalis]"	XM_020402953.1	1.00E-42	276/357(77.31)	1.85E+02	"PREDICTED: Asparagus officinalis (E,E)-geranyllinalool synthase-like (LOC109834944), mRNA"	sp|Q93Z24|BGA17_ARATH	1.40E-07	33/55(60.00)	60	Beta-galactosidase 17 OS=Arabidopsis thaliana GN=BGAL17 PE=2 SV=1	Bgal
HJ_1-10k_transcript/80350	6	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005618: cell wall (cellular_component); GO:0005773: vacuole (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function); GO:0048046: apoplast (cellular_component);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020243771.1	0.00E+00	678/772(87.82)	1.50E+03	beta-galactosidase 2-like [Asparagus officinalis] 	XM_020388183.1	0	2058/2420(85.04)	2.45E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 2-like (LOC109822022), transcript variant X2, mRNA"	sp|Q8W0A1|BGAL2_ORYSJ	0.00E+00	624/799(78.10)	1404	Beta-galactosidase 2 OS=Oryza sativa subsp. japonica GN=Os01g0580200 PE=2 SV=1	Bgal
HJ_1-10k_transcript/65859	3	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020259718.1	0.00E+00	727/825(88.12)	1559	beta-galactosidase 6 isoform X1 [Asparagus officinalis] 	XM_020404129.1	0	2113/2478(85.27)	2.54E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 6 (LOC109836268), transcript variant X1, mRNA"	sp|Q10NX8|BGAL6_ORYSJ	0.00E+00	577/828(69.69)	1255	Beta-galactosidase 6 OS=Oryza sativa subsp. japonica GN=Os03g0255100 PE=1 SV=2	Bgal
HJ_1-10k_transcript/65102	--	--	K01190|lacZ	http://www.genome.jp/dbget-bin/www_bget?ko:K01190	[G]	Carbohydrate transport and metabolism 	XP_020264636.1	0.00E+00	672/839(80.10)	1449	uncharacterized protein LOC109840411 isoform X1 [Asparagus officinalis]	XM_020409047.1	0	1213/1407(86.21)	1.52E+03	"PREDICTED: Asparagus officinalis beta-galactosidase (LOC109840411), transcript variant X1, mRNA"	sp|A5F5U6|BGAL_VIBC3	8.90E-162	313/755(41.46)	572	Beta-galactosidase OS=Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395) GN=lacZ PE=3 SV=2	Bgal
HJ_1-10k_transcript/33232	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_010917686.1	0.00E+00	699/823(84.93)	1528	beta-galactosidase 5 [Elaeis guineensis]	XM_020405951.1	0	2175/2580(84.30)	2.49E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 5-like (LOC109837630), mRNA"	sp|Q10RB4|BGAL5_ORYSJ	0.00E+00	645/824(78.28)	1421	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/74687	1	"GO:0016798: hydrolase activity, acting on glycosyl bonds (molecular_function);"	"K12309|GLB1, ELNR1"	http://www.genome.jp/dbget-bin/www_bget?ko:K12309	--	--	XP_020258542.1	3.00E-17	62/134(46.27)	97	"(E,E)-geranyllinalool synthase-like [Asparagus officinalis]"	XM_020402953.1	4.00E-28	207/268(77.24)	1.37E+02	"PREDICTED: Asparagus officinalis (E,E)-geranyllinalool synthase-like (LOC109834944), mRNA"	sp|Q93Z24|BGA17_ARATH	1.40E-07	33/55(60.00)	60	Beta-galactosidase 17 OS=Arabidopsis thaliana GN=BGAL17 PE=2 SV=1	Bgal
HJ_1-10k_transcript/100378	--	--	"K12309|GLB1, ELNR1"	http://www.genome.jp/dbget-bin/www_bget?ko:K12309	--	--	XP_020242597.1	8.70E-16	51/118(43.22)	9.20E+01	beta-galactosidase 8 [Asparagus officinalis]	XM_020391561.1	9.00E-10	60/69(86.96)	7.68E+01	"PREDICTED: Asparagus officinalis peroxisomal fatty acid beta-oxidation multifunctional protein (LOC109824930), mRNA"	sp|Q0DGD7|BGAL8_ORYSJ	5.60E-11	40/102(39.22)	71	Beta-galactosidase 8 OS=Oryza sativa subsp. japonica GN=Os05g0539400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/45868	6	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005618: cell wall (cellular_component); GO:0005773: vacuole (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function); GO:0048046: apoplast (cellular_component);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020243771.1	0.00E+00	676/772(87.56)	1.49E+03	beta-galactosidase 2-like [Asparagus officinalis] 	XM_020388183.1	0	2054/2419(84.91)	2.44E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 2-like (LOC109822022), transcript variant X2, mRNA"	sp|Q8W0A1|BGAL2_ORYSJ	0.00E+00	623/799(77.97)	1400	Beta-galactosidase 2 OS=Oryza sativa subsp. japonica GN=Os01g0580200 PE=2 SV=1	Bgal
HJ_1-10k_transcript/72003	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0008152: metabolic process (biological_process);"	--	--	[G]	Carbohydrate transport and metabolism 	BAF31234.1	1.60E-45	92/138(66.67)	191	beta-D-galactosidase [Persea americana]	--	--	--	--	--	sp|Q10RB4|BGAL5_ORYSJ	3.70E-43	83/132(62.88)	178	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/192213	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0008152: metabolic process (biological_process);"	--	--	[G]	Carbohydrate transport and metabolism 	XP_020269630.1	5.60E-169	299/394(75.89)	600	beta-galactosidase 2-like isoform X2 [Asparagus officinalis]	XM_020414041.1	0	1079/1322(81.62)	1.08E+03	"PREDICTED: Asparagus officinalis beta-galactosidase-like (LOC109844871), transcript variant X2, mRNA"	sp|Q8W0A1|BGAL2_ORYSJ	2.20E-137	235/411(57.18)	490	Beta-galactosidase 2 OS=Oryza sativa subsp. japonica GN=Os01g0580200 PE=2 SV=1	Bgal
HJ_1-10k_transcript/21261	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0008152: metabolic process (biological_process);"	"K14573|NOP4, RBM28"	http://www.genome.jp/dbget-bin/www_bget?ko:K14573	--	--	KAG0456769.1	7.30E-14	38/50(76.00)	86	hypothetical protein HPP92_024557 [Vanilla planifolia]	--	--	--	--	--	sp|Q10RB4|BGAL5_ORYSJ	4.10E-13	33/50(66.00)	79	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/12298	--	--	K01190|lacZ	http://www.genome.jp/dbget-bin/www_bget?ko:K01190	[G]	Carbohydrate transport and metabolism 	XP_020264636.1	0.00E+00	910/1112(81.83)	1979	uncharacterized protein LOC109840411 isoform X1 [Asparagus officinalis]	XM_019851856.2	0	2075/2576(80.55)	1.96E+03	"PREDICTED: Elaeis guineensis beta-galactosidase (LOC105049109), transcript variant X3, mRNA"	sp|A5F5U6|BGAL_VIBC3	3.40E-226	440/1093(40.26)	786	Beta-galactosidase OS=Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395) GN=lacZ PE=3 SV=2	Bgal
HJ_1-10k_transcript/60299	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_020277131.1	1.70E-10	32/34(94.12)	74	mucin-5AC-like [Asparagus officinalis] 	CP027622.1	5.00E-18	86/101(85.15)	1.04E+02	Linum usitatissimum chromosome Lu12	sp|Q0INM3|BGA15_ORYSJ	9.50E-10	25/32(78.12)	67	Beta-galactosidase 15 OS=Oryza sativa subsp. japonica GN=Os12g0429200 PE=2 SV=1	Bgal
HJ_1-10k_transcript/79270	--	--	--	--	[G]	Carbohydrate transport and metabolism 	ONK73113.1	0.00E+00	607/783(77.52)	1.28E+03	uncharacterized protein A4U43_C04F27390 [Asparagus officinalis]	XM_020406354.1	0	1923/2371(81.11)	1.86E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 7-like (LOC109837961), mRNA"	sp|Q8GX69|BGA16_ARATH	2.40E-273	463/795(58.24)	943	Beta-galactosidase 16 OS=Arabidopsis thaliana GN=BGAL16 PE=2 SV=2	Bgal
HJ_1-10k_transcript/245513	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_010917686.1	3.20E-151	240/290(82.76)	541	beta-galactosidase 5 [Elaeis guineensis]	XM_020405951.1	0	815/985(82.74)	8.52E+02	"PREDICTED: Asparagus officinalis beta-galactosidase 5-like (LOC109837630), mRNA"	sp|Q10RB4|BGAL5_ORYSJ	2.40E-139	220/291(75.60)	496	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/111059	3	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020247078.1	0.00E+00	602/716(84.08)	1291	beta-galactosidase 15 isoform X1 [Asparagus officinalis] 	XM_020391491.1	0	1823/2115(86.19)	2.28E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 15 (LOC109824841), transcript variant X3, mRNA"	sp|Q0INM3|BGA15_ORYSJ	2.40E-296	473/707(66.90)	1019	Beta-galactosidase 15 OS=Oryza sativa subsp. japonica GN=Os12g0429200 PE=2 SV=1	Bgal
HJ_1-10k_transcript/213702	--	--	K01190|lacZ	http://www.genome.jp/dbget-bin/www_bget?ko:K01190	--	--	XP_020264636.1	8.00E-223	356/458(77.73)	779	uncharacterized protein LOC109840411 isoform X1 [Asparagus officinalis]	XM_020409047.1	0	599/719(83.31)	6.60E+02	"PREDICTED: Asparagus officinalis beta-galactosidase (LOC109840411), transcript variant X1, mRNA"	sp|A5F5U6|BGAL_VIBC3	4.10E-58	152/447(34.00)	227	Beta-galactosidase OS=Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395) GN=lacZ PE=3 SV=2	Bgal
HJ_1-10k_transcript/28416	--	--	K01190|lacZ	http://www.genome.jp/dbget-bin/www_bget?ko:K01190	[G]	Carbohydrate transport and metabolism 	XP_020264636.1	0.00E+00	858/1048(81.87)	1867	uncharacterized protein LOC109840411 isoform X1 [Asparagus officinalis]	XM_019851856.2	0	1945/2425(80.21)	1.80E+03	"PREDICTED: Elaeis guineensis beta-galactosidase (LOC105049109), transcript variant X3, mRNA"	sp|A5F5U6|BGAL_VIBC3	7.70E-224	426/1024(41.60)	778	Beta-galactosidase OS=Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395) GN=lacZ PE=3 SV=2	Bgal
HJ_1-10k_transcript/42078	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_010917686.1	0.00E+00	700/819(85.47)	1529	beta-galactosidase 5 [Elaeis guineensis]	XM_020405951.1	0	2227/2623(84.90)	2.62E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 5-like (LOC109837630), mRNA"	sp|Q10RB4|BGAL5_ORYSJ	0.00E+00	644/818(78.73)	1426	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/46883	5	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005618: cell wall (cellular_component); GO:0005773: vacuole (cellular_component); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020261940.1	0.00E+00	732/844(86.73)	1546	beta-galactosidase 3 [Asparagus officinalis] 	XM_020406351.1	0	2201/2565(85.81)	2.71E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 3 (LOC109837958), mRNA"	sp|Q5N8X6|BGAL3_ORYSJ	0.00E+00	561/823(68.17)	1223	Beta-galactosidase 3 OS=Oryza sativa subsp. japonica GN=Os01g0875500 PE=3 SV=1	Bgal
HJ_1-10k_transcript/310709	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_020247078.1	5.70E-100	173/213(81.22)	370	beta-galactosidase 15 isoform X1 [Asparagus officinalis] 	XM_020391491.1	2.00E-145	499/605(82.48)	5.25E+02	"PREDICTED: Asparagus officinalis beta-galactosidase 15 (LOC109824841), transcript variant X3, mRNA"	sp|Q9SCV3|BGAL9_ARATH	7.70E-77	132/210(62.86)	288	Beta-galactosidase 9 OS=Arabidopsis thaliana GN=BGAL9 PE=2 SV=1	Bgal
HJ_1-10k_transcript/42492	3	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function);	"K14573|NOP4, RBM28"	http://www.genome.jp/dbget-bin/www_bget?ko:K14573	--	--	RRT84535.1	1.70E-08	30/39(76.92)	6.80E+01	hypothetical protein B296_00014213 [Ensete ventricosum]	--	--	--	--	--	sp|Q10RB4|BGAL5_ORYSJ	5.20E-09	28/39(71.79)	65	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/68331	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_010921989.1	1.40E-288	466/570(81.75)	998	beta-galactosidase 8 isoform X2 [Elaeis guineensis]	XM_020413654.1	0	1297/1505(86.18)	1.62E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 8-like (LOC109844562), transcript variant X2, mRNA"	sp|Q9SCV4|BGAL8_ARATH	2.40E-215	352/571(61.65)	750	Beta-galactosidase 8 OS=Arabidopsis thaliana GN=BGAL8 PE=2 SV=2	Bgal
HJ_1-10k_transcript/197652	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_010917686.1	1.10E-201	324/390(83.08)	709	beta-galactosidase 5 [Elaeis guineensis]	XM_020405951.1	0	1071/1293(82.83)	1.13E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 5-like (LOC109837630), mRNA"	sp|Q10RB4|BGAL5_ORYSJ	3.40E-180	288/391(73.66)	632	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/48755	--	--	--	--	--	--	KAG6428901.1	1.20E-14	43/85(50.59)	88	hypothetical protein SASPL_106940 [Salvia splendens]	XM_027336296.1	6.00E-27	118/141(83.69)	1.34E+02	"PREDICTED: Cicer arietinum ubiquitin-conjugating enzyme E2 2 (LOC101490547), transcript variant X1, mRNA"	sp|A2X2H7|BGAL4_ORYSI	3.70E-15	45/97(46.39)	85	Beta-galactosidase 4 OS=Oryza sativa subsp. indica GN=OsI_006270 PE=3 SV=1	Bgal
HJ_1-10k_transcript/23718	3	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function);	--	--	[G]	Carbohydrate transport and metabolism 	XP_020269243.1	9.10E-155	266/312(85.26)	5.54E+02	beta-galactosidase 8-like isoform X2 [Asparagus officinalis]	XM_020413654.1	0	1302/1506(86.45)	1.64E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 8-like (LOC109844562), transcript variant X2, mRNA"	sp|Q9SCV4|BGAL8_ARATH	2.00E-118	184/256(71.88)	428	Beta-galactosidase 8 OS=Arabidopsis thaliana GN=BGAL8 PE=2 SV=2	Bgal
HJ_1-10k_transcript/286043	4	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0009536: plastid (cellular_component); GO:0048046: apoplast (cellular_component);	--	--	[G]	Carbohydrate transport and metabolism 	RRT43036.1	2.00E-12	34/58(58.62)	79	hypothetical protein B296_00019266 [Ensete ventricosum]	--	--	--	--	--	sp|A2X2H7|BGAL4_ORYSI	3.50E-13	32/46(69.57)	77	Beta-galactosidase 4 OS=Oryza sativa subsp. indica GN=OsI_006270 PE=3 SV=1	Bgal
HJ_1-10k_transcript/10459	--	--	K01190|lacZ	http://www.genome.jp/dbget-bin/www_bget?ko:K01190	[G]	Carbohydrate transport and metabolism 	XP_020264636.1	0.00E+00	911/1112(81.92)	1984	uncharacterized protein LOC109840411 isoform X1 [Asparagus officinalis]	XM_019851856.2	0	2079/2576(80.71)	1.98E+03	"PREDICTED: Elaeis guineensis beta-galactosidase (LOC105049109), transcript variant X3, mRNA"	sp|A5F5U6|BGAL_VIBC3	5.30E-227	440/1093(40.26)	789	Beta-galactosidase OS=Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395) GN=lacZ PE=3 SV=2	Bgal
HJ_1-10k_transcript/71887	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_020261540.1	0.00E+00	580/688(84.30)	1265	beta-galactosidase 5-like [Asparagus officinalis] 	XM_020405951.1	0	1952/2317(84.25)	2.23E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 5-like (LOC109837630), mRNA"	sp|Q10RB4|BGAL5_ORYSJ	0.00E+00	532/672(79.17)	1166	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/232376	4	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0009536: plastid (cellular_component); GO:0048046: apoplast (cellular_component);	--	--	[G]	Carbohydrate transport and metabolism 	RRT43036.1	2.80E-12	34/58(58.62)	79	hypothetical protein B296_00019266 [Ensete ventricosum]	--	--	--	--	--	sp|A2X2H7|BGAL4_ORYSI	4.90E-13	32/46(69.57)	77	Beta-galactosidase 4 OS=Oryza sativa subsp. indica GN=OsI_006270 PE=3 SV=1	Bgal
HJ_1-10k_transcript/61006	4	GO:0004565: beta-galactosidase activity (molecular_function); GO:0005975: carbohydrate metabolic process (biological_process); GO:0030246: carbohydrate binding (molecular_function); GO:0048046: apoplast (cellular_component);	--	--	[G]	Carbohydrate transport and metabolism 	XP_009407297.1	0.00E+00	514/756(67.99)	1096	PREDICTED: beta-galactosidase 2 isoform X1 [Musa acuminata subsp. malaccensis] 	XM_020414040.1	0	1214/1486(81.70)	1.22E+03	"PREDICTED: Asparagus officinalis beta-galactosidase-like (LOC109844871), transcript variant X1, mRNA"	sp|P45582|BGAL_ASPOF	8.2e-312	498/743(67.03)	1070	Beta-galactosidase OS=Asparagus officinalis PE=2 SV=1	Bgal
HJ_1-10k_transcript/19278	2	"GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds (molecular_function); GO:0008152: metabolic process (biological_process);"	"K14573|NOP4, RBM28"	http://www.genome.jp/dbget-bin/www_bget?ko:K14573	--	--	KAG0456769.1	4.30E-14	37/50(74.00)	87	hypothetical protein HPP92_024557 [Vanilla planifolia]	--	--	--	--	--	sp|Q10RB4|BGAL5_ORYSJ	2.40E-13	32/50(64.00)	79	Beta-galactosidase 5 OS=Oryza sativa subsp. japonica GN=Os03g0165400 PE=2 SV=1	Bgal
HJ_1-10k_transcript/274671	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_020247078.1	4.00E-152	254/308(82.47)	543	beta-galactosidase 15 isoform X1 [Asparagus officinalis] 	XM_020391491.1	0	751/891(84.29)	8.65E+02	"PREDICTED: Asparagus officinalis beta-galactosidase 15 (LOC109824841), transcript variant X3, mRNA"	sp|Q9SCV3|BGAL9_ARATH	1.70E-114	189/305(61.97)	414	Beta-galactosidase 9 OS=Arabidopsis thaliana GN=BGAL9 PE=2 SV=1	Bgal
HJ_1-10k_transcript/265801	--	--	--	--	[G]	Carbohydrate transport and metabolism 	XP_020247078.1	5.30E-174	290/352(82.39)	616	beta-galactosidase 15 isoform X1 [Asparagus officinalis] 	XM_020391491.1	0	855/1011(84.57)	1.00E+03	"PREDICTED: Asparagus officinalis beta-galactosidase 15 (LOC109824841), transcript variant X3, mRNA"	sp|Q9SCV3|BGAL9_ARATH	1.60E-129	213/349(61.03)	464	Beta-galactosidase 9 OS=Arabidopsis thaliana GN=BGAL9 PE=2 SV=1	Bgal
